"id","url","club_name","id_current_league","current_mv"
826,"https://www.transfermarkt.com/rc-lens/startseite/verein/826","Lens","FR1",198850000
873,"https://www.transfermarkt.com/crystal-palace/startseite/verein/873","Crystal Palace","GB1",420500000
931,"https://www.transfermarkt.com/fc-fulham/startseite/verein/931","Fulham","GB1",256300000
940,"https://www.transfermarkt.com/celta-vigo/startseite/verein/940","Celta Vigo","ES1",89100000
969,"https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969","Montpellier","FR1",91400000
985,"https://www.transfermarkt.com/manchester-united/startseite/verein/985","Man United","GB1",818150000
989,"https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989","Bournemouth","GB1",373100000
995,"https://www.transfermarkt.com/fc-nantes/startseite/verein/995","Nantes","FR1",79950000
1003,"https://www.transfermarkt.com/leicester-city/startseite/verein/1003","Leicester","GB1",191200000
1005,"https://www.transfermarkt.com/us-lecce/startseite/verein/1005","Lecce","IT1",92500000
1025,"https://www.transfermarkt.com/fc-bologna/startseite/verein/1025","Bologna","IT1",295800000
1041,"https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041","Lyon","FR1",281000000
1047,"https://www.transfermarkt.com/como-1907/startseite/verein/1047","Como","IT1",60350000
1049,"https://www.transfermarkt.com/fc-valencia/startseite/verein/1049","Valencia","ES1",249200000
1050,"https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050","Villarreal","ES1",233200000
1082,"https://www.transfermarkt.com/losc-lille/startseite/verein/1082","Lille","FR1",236900000
1108,"https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108","Deportivo","ES1",76600000
1148,"https://www.transfermarkt.com/fc-brentford/startseite/verein/1148","Brentford","GB1",419730000
1237,"https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237","Brighton","GB1",586100000
1244,"https://www.transfermarkt.com/cd-leganes/startseite/verein/1244","Leganes","ES1",31150000
1390,"https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390","Cagliari","IT1",71350000
1420,"https://www.transfermarkt.com/sco-angers/startseite/verein/1420","Angers","FR1",26100000
1421,"https://www.transfermarkt.com/stade-reims/startseite/verein/1421","Reims","FR1",115500000
2036,"https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036","Heidenheim","L1",46530000
2919,"https://www.transfermarkt.com/ac-monza/startseite/verein/2919","Monza","IT1",77080000
3709,"https://www.transfermarkt.com/fc-getafe/startseite/verein/3709","Getafe","ES1",70700000
3911,"https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911","Brest","FR1",84950000
6195,"https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195","Napoli","IT1",471300000
12321,"https://www.transfermarkt.com/fc-girona/startseite/verein/12321","Girona","ES1",198500000
23826,"https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826","Leipzig","L1",460130000
